Id,DisplayName,Description,ExtraInfo,Keywords
cardtype_single,单张,一张牌出战,费用: 基础费用,单牌|单张
cardtype_pair,对子,两张同点数牌,费用: 基础费用×2.0,对子|一对
cardtype_triple,三条,三张同点数牌,费用: 基础费用×3.0,三条|三张
cardtype_triple_one,三带一,三张同点数+一张杂牌,费用: 基础费用×3.4,三带一|三带
cardtype_triple_pair,三带二,三张同点数+一对杂牌,费用: 基础费用×4.25,三带二
cardtype_straight,顺子,5张连续单牌,费用: 基础费用×0.7×张数,顺子|连牌
cardtype_consecutive,连对,3对连续对子,费用: 基础费用×0.7×对数,连对|连续对子
cardtype_bomb,炸弹,四张同点数牌,费用: 基础费用×4.8,炸弹|四张
cardtype_kingbomb,王炸,大小王组合,费用: 100,王炸|双王|火箭
cardtype_plane,飞机,三张+两张,费用: 基础费用×0.8×组数,飞机|轰炸
cardtype_four_two,四带二,四张+两张单牌,费用: 基础费用×6.4,四带二|四带
